date,country,keyword,global_monthly_searches,ad_position,daily_clicks,daily_cost,local_monthly_searches,impressions
2011-12-25,UK,financial services,4090000.0,1.0,8.0,234.22,246000.0,4757
2011-12-25,UK,certificate of deposit,1830000.0,1.0,148.0,159.49,201000.0,60635
2011-12-25,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-25,UK,insurance,33100.0,1.0,28.0,490.98,6600.0,34975
2011-12-25,UK,checking account,450000.0,1.0,50.0,133.0,33100.0,16997
2011-12-25,UK,consolidate loans,90500.0,1.0,1.0,6.22,2900.0,38
2011-12-25,UK,minimum balance,1220000.0,1.0,0.0,6.08,74000.0,32
2011-12-25,UK,banking careers,390.0,1.0,1.0,0.53,36.0,27
2011-12-25,UK,lawyer,13600000.0,1.0,119.0,182.68,1830000.0,55708
2011-12-25,UK,loans,20400000.0,1.0,2034.0,13739.88,3350000.0,71723135
2011-12-25,UK,mortgage,9900.0,1.0,1.0,16.22,880.0,61
2011-12-25,UK,rewards card,0.0,1.0,44.0,73.4,0.0,8290
2011-12-26,UK,financial services,4090000.0,1.0,9.0,788.715,246000.0,18774
2011-12-26,UK,certificate of deposit,1830000.0,1.0,134.0,152.9025,201000.0,52560
2011-12-26,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-26,UK,insurance,33100.0,1.0,30.0,556.56,6600.0,42311
2011-12-26,UK,checking account,450000.0,1.0,50.0,120.75,33100.0,15418
2011-12-26,UK,consolidate loans,90500.0,1.0,1.0,6.2325,2900.0,38
2011-12-26,UK,minimum balance,1220000.0,1.0,0.0,6.09,74000.0,32
2011-12-26,UK,banking careers,390.0,1.0,1.0,0.53,36.0,27
2011-12-26,UK,lawyer,13600000.0,1.0,111.0,175.9275,1830000.0,50242
2011-12-26,UK,loans,20400000.0,1.0,1846.0,12359.7825,3350000.0,58580906
2011-12-26,UK,mortgage,9900.0,1.0,1.0,16.25,880.0,61
2011-12-26,UK,rewards card,0.0,1.0,44.0,73.55,0.0,8278
2011-12-26,US,financial services,4090000.0,1.0,832.0,196.946666667,673000.0,420591
2011-12-26,US,certificate of deposit,1830000.0,1.0,316.0,268.19,673000.0,217328
2011-12-26,US,joint account,201000.0,1.0,377.0,2173.58666667,135000.0,2103962
2011-12-26,US,insurance,33100.0,1.0,112.0,4507.36,22200.0,1299855
2011-12-26,US,checking account,450000.0,1.0,335.0,3745.57666667,246000.0,3220372
2011-12-26,US,consolidate loans,90500.0,1.0,20.0,55.85,74000.0,2867
2011-12-26,US,overdraft fee,135000.0,1.0,41.0,740.883333333,110000.0,78617
2011-12-26,US,minimum balance,1220000.0,1.0,285.0,144.166666667,301000.0,105589
2011-12-26,US,debit,1500000.0,1.0,5.0,7.52333333333,673000.0,123
2011-12-26,US,lawyer,13600000.0,1.0,1612.0,2172.71,9140000.0,8993301
2011-12-26,US,credit cards,165000.0,1.0,146.0,1331.16,135000.0,500371
2011-12-26,US,loans,20400000.0,,6258.0,61167.2033333,11100000.0,982593468
2011-12-26,US,atm,1000.0,1.0,6.0,3.71666666667,590.0,78
2011-12-26,US,wire transfer,9900.0,1.0,112.0,843.226666667,8100.0,243288
2011-12-26,US,rewards card,0.0,1.0,38.0,82.96,0.0,8141
2011-12-27,UK,financial services,4090000.0,1.0,9.0,789.095,246000.0,19239
2011-12-27,UK,certificate of deposit,1830000.0,1.0,121.0,139.76,201000.0,43574
2011-12-27,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-27,UK,insurance,33100.0,1.0,28.0,507.59,6600.0,36451
2011-12-27,UK,checking account,450000.0,1.0,46.0,106.595,33100.0,12491
2011-12-27,UK,consolidate loans,90500.0,1.0,1.0,6.225,2900.0,38
2011-12-27,UK,minimum balance,1220000.0,1.0,0.0,6.085,74000.0,32
2011-12-27,UK,banking careers,,1.0,1.0,0.525,36.0,27
2011-12-27,UK,lawyer,13600000.0,1.0,98.0,115.9,1830000.0,29042
2011-12-27,UK,loans,20400000.0,1.0,1721.0,11211.25,3350000.0,49516237
2011-12-27,UK,rewards card,0.0,1.0,42.0,73.15,0.0,7856
2011-12-27,US,financial services,4090000.0,1.0,782.0,186.245,673000.0,373898
2011-12-27,US,certificate of deposit,1830000.0,1.0,299.0,263.505,673000.0,202222
2011-12-27,US,joint account,201000.0,1.0,351.0,2119.94,135000.0,1909655
2011-12-27,US,insurance,33100.0,1.0,128.0,4943.305,22200.0,1628543
2011-12-27,US,checking account,450000.0,1.0,325.0,3203.225,246000.0,2672914
2011-12-27,US,consolidate loans,90500.0,1.0,18.0,52.945,74000.0,2414
2011-12-27,US,overdraft fee,135000.0,1.0,35.0,612.155,110000.0,55520
2011-12-27,US,minimum balance,1220000.0,1.0,277.0,140.09,301000.0,99682
2011-12-27,US,debit,1500000.0,1.0,5.0,7.525,673000.0,122
2011-12-27,US,lawyer,13600000.0,1.0,1586.0,2261.44,9140000.0,9209927
2011-12-27,US,credit cards,165000.0,1.0,136.0,1280.175,135000.0,445574
2011-12-27,US,loans,20400000.0,1.0,5833.0,59512.03,11100000.0,891168324
2011-12-27,US,atm,1000.0,1.0,5.0,3.71,590.0,78
2011-12-27,US,wire transfer,9900.0,1.0,73.0,780.375,8100.0,146412
2011-12-27,US,mortgage,9900.0,1.0,4.0,1.955,4400.0,48
2011-12-27,US,rewards card,0.0,1.0,23.0,30.435,0.0,1836
2011-12-28,UK,financial services,4090000.0,1.0,7.0,614.865,246000.0,11366
2011-12-28,UK,certificate of deposit,1830000.0,1.0,127.0,140.47,201000.0,45707
2011-12-28,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-28,UK,insurance,33100.0,1.0,25.0,454.81,6600.0,29540
2011-12-28,UK,checking account,450000.0,1.0,35.0,56.415,40500.0,5069
2011-12-28,UK,consolidate loans,74000.0,1.0,2.0,18.68,2900.0,112
2011-12-28,UK,banking careers,480.0,1.0,1.0,0.53,46.0,27
2011-12-28,UK,lawyer,13600000.0,1.0,106.0,124.695,1830000.0,34000
2011-12-28,UK,loans,20400000.0,1.0,1455.0,9488.13,3350000.0,35445437
2011-12-28,UK,rewards card,823000.0,1.0,43.0,73.515,90500.0,8185
2011-12-28,US,financial services,4090000.0,1.0,676.0,158.78,823000.0,275623
2011-12-28,US,certificate of deposit,1830000.0,1.0,303.0,281.9,673000.0,219503
2011-12-28,US,joint account,201000.0,1.0,345.0,2543.275,135000.0,2249373
2011-12-28,US,insurance,33100.0,1.0,153.0,5522.735,22200.0,2166695
2011-12-28,US,checking account,450000.0,1.0,270.0,2267.995,246000.0,1574526
2011-12-28,US,consolidate loans,74000.0,1.0,12.0,28.34,74000.0,927
2011-12-28,US,overdraft fee,135000.0,1.0,40.0,648.585,110000.0,67031
2011-12-28,US,minimum balance,1220000.0,1.0,280.0,141.365,301000.0,101734
2011-12-28,US,debit,1500000.0,1.0,10.0,14.32,673000.0,388
2011-12-28,US,lawyer,13600000.0,1.0,1518.0,2148.605,9140000.0,8373908
2011-12-28,US,credit cards,165000.0,1.0,121.0,1138.125,135000.0,352209
2011-12-28,US,loans,20400000.0,1.0,5564.0,45470.965,11100000.0,649456392
2011-12-28,US,atm,1000.0,1.0,6.0,3.725,590.0,78
2011-12-28,US,wire transfer,9900.0,1.0,69.0,729.14,8100.0,128510
2011-12-28,US,mortgage,9900.0,1.0,5.0,1.965,4400.0,49
2011-12-28,US,rewards card,823000.0,1.0,18.0,12.275,135000.0,593
2011-12-29,UK,financial services,4090000.0,1.0,7.0,604.66,246000.0,10208
2011-12-29,UK,certificate of deposit,1830000.0,1.0,132.0,144.26,201000.0,48748
2011-12-29,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-29,UK,insurance,33100.0,1.0,22.0,356.14,6600.0,20522
2011-12-29,UK,checking account,450000.0,1.0,33.0,36.89,40500.0,3105
2011-12-29,UK,consolidate loans,74000.0,1.0,2.0,18.56,2900.0,113
2011-12-29,UK,banking careers,480.0,1.0,1.0,0.53,46.0,27
2011-12-29,UK,lawyer,13600000.0,1.0,108.0,140.39,1830000.0,38961
2011-12-29,UK,loans,20400000.0,1.0,1341.0,8629.89,3350000.0,29710254
2011-12-29,UK,mortgage,9900.0,1.0,1.0,29.69,880.0,112
2011-12-29,UK,rewards card,823000.0,,26.0,36.92,90500.0,2532
2011-12-29,US,financial services,4090000.0,1.0,697.0,146.15,823000.0,261339
2011-12-29,US,certificate of deposit,1830000.0,1.0,324.0,286.1,673000.0,237715
2011-12-29,US,joint account,201000.0,1.0,271.0,2280.09,135000.0,1588074
2011-12-29,US,insurance,33100.0,1.0,162.0,5711.93,22200.0,2380948
2011-12-29,US,checking account,450000.0,1.0,238.0,1563.4,246000.0,956231
2011-12-29,US,consolidate loans,74000.0,1.0,18.0,57.08,74000.0,2635
2011-12-29,US,overdraft fee,135000.0,1.0,40.0,604.12,110000.0,62011
2011-12-29,US,minimum balance,1220000.0,1.0,340.0,171.58,301000.0,149933
2011-12-29,US,debit,1500000.0,1.0,10.0,14.22,673000.0,389
2011-12-29,US,lawyer,13600000.0,1.0,1574.0,2106.0,9140000.0,8508389
2011-12-29,US,credit cards,165000.0,1.0,131.0,1133.79,135000.0,381704
2011-12-29,US,loans,20400000.0,1.0,5587.0,39080.21,11100000.0,560457769
2011-12-29,US,atm,1000.0,1.0,6.0,3.69,590.0,79
2011-12-29,US,wire transfer,9900.0,1.0,55.0,563.31,8100.0,79557
2011-12-29,US,mortgage,9900.0,1.0,5.0,1.97,4400.0,49
2011-12-29,US,rewards card,823000.0,1.0,18.0,12.18,135000.0,594
2011-12-31,UK,financial services,4090000.0,1.0,8.0,663.2,246000.0,14122
2011-12-31,UK,certificate of deposit,1830000.0,1.0,154.0,161.28,201000.0,63621
2011-12-31,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2011-12-31,UK,insurance,33100.0,1.0,23.0,436.2,6600.0,25880
2011-12-31,UK,checking account,450000.0,1.0,25.0,35.17,40500.0,2311
2011-12-31,UK,consolidate loans,74000.0,1.0,1.0,12.56,2900.0,59
2011-12-31,UK,banking careers,480.0,1.0,1.0,0.54,46.0,27
2011-12-31,UK,lawyer,13600000.0,1.0,116.0,157.9,1830000.0,46979
2011-12-31,UK,loans,20400000.0,1.0,1314.0,9742.66,3350000.0,32862940
2011-12-31,UK,mortgage,9900.0,1.0,1.0,30.19,880.0,114
2011-12-31,UK,rewards card,823000.0,1.0,12.0,7.02,90500.0,248
2011-12-31,US,financial services,4090000.0,1.0,744.0,155.93,823000.0,297927
2011-12-31,US,certificate of deposit,1830000.0,1.0,317.0,271.22,673000.0,220521
2011-12-31,US,joint account,201000.0,1.0,251.0,2429.37,135000.0,1565387
2011-12-31,US,insurance,33100.0,1.0,167.0,4636.42,22200.0,1984412
2011-12-31,US,checking account,450000.0,1.0,193.0,1261.14,246000.0,625713
2011-12-31,US,consolidate loans,74000.0,1.0,36.0,181.49,74000.0,16606
2011-12-31,US,overdraft fee,135000.0,1.0,50.0,632.88,110000.0,80996
2011-12-31,US,minimum balance,1220000.0,1.0,343.0,173.41,301000.0,152524
2011-12-31,US,debit,1500000.0,1.0,5.0,6.84,673000.0,107
2011-12-31,US,lawyer,13600000.0,1.0,1415.0,1870.52,9140000.0,6794963
2011-12-31,US,credit cards,165000.0,1.0,128.0,1102.9,135000.0,361226
2011-12-31,US,loans,20400000.0,1.0,5448.0,48191.58,11100000.0,674003345
2011-12-31,US,atm,1000.0,1.0,6.0,3.75,590.0,80
2011-12-31,US,wire transfer,9900.0,1.0,62.0,574.94,8100.0,90984
2011-12-31,US,mortgage,9900.0,1.0,5.0,2.01,4400.0,49
2011-12-31,US,rewards card,823000.0,1.0,13.0,9.14,135000.0,335
2012-01-01,UK,financial services,4090000.0,1.0,7.0,658.28,246000.0,12412
2012-01-01,UK,certificate of deposit,1830000.0,1.0,174.0,171.39,201000.0,76533
2012-01-01,UK,joint account,201000.0,1.0,1.0,0.2,8100.0,26
2012-01-01,UK,insurance,33100.0,1.0,24.0,541.93,6600.0,33323
2012-01-01,UK,checking account,450000.0,1.0,21.0,25.485,40500.0,1378
2012-01-01,UK,consolidate loans,74000.0,1.0,3.0,39.93,2900.0,326
2012-01-01,UK,banking careers,480.0,1.0,1.0,0.54,46.0,27
2012-01-01,UK,bankruptcy,8100.0,1.0,1.0,1.95,1000.0,30
2012-01-01,UK,lawyer,13600000.0,1.0,116.0,183.92,1830000.0,54587
2012-01-01,UK,loans,20400000.0,1.0,1311.0,10789.505,3350000.0,36321343
2012-01-01,UK,mortgage,9900.0,1.0,1.0,30.17,880.0,115
2012-01-01,UK,rewards card,823000.0,1.0,14.0,10.96,90500.0,428
2012-01-01,US,financial services,4090000.0,1.0,675.0,142.11,823000.0,246386
2012-01-01,US,certificate of deposit,1830000.0,1.0,299.0,244.265,673000.0,187772
2012-01-01,US,joint account,201000.0,1.0,190.0,2545.07,135000.0,1238633
2012-01-01,US,insurance,33100.0,1.0,146.0,3362.555,22200.0,1263370
2012-01-01,US,checking account,450000.0,1.0,196.0,1108.325,246000.0,558205
2012-01-01,US,consolidate loans,74000.0,1.0,40.0,186.96,74000.0,19463
2012-01-01,US,overdraft fee,135000.0,1.0,66.0,213.025,110000.0,36035
2012-01-01,US,minimum balance,1220000.0,1.0,390.0,197.34,301000.0,197514
2012-01-01,US,debit,1500000.0,1.0,9.0,8.64,673000.0,219
2012-01-01,US,lawyer,13600000.0,1.0,1264.0,1574.11,9140000.0,5105689
2012-01-01,US,credit cards,165000.0,1.0,138.0,1094.65,135000.0,387945
2012-01-01,US,loans,20400000.0,1.0,5451.0,59301.62,11100000.0,829807566
2012-01-01,US,wire transfer,9900.0,1.0,73.0,496.015,8100.0,93026
2012-01-01,US,mortgage,9900.0,1.0,7.0,3.46,4400.0,88
2012-01-01,US,rewards card,823000.0,1.0,8.0,6.125,135000.0,153
2012-01-02,UK,financial services,4090000.0,1.045,8.0,389.35,246000.0,7956
2012-01-02,UK,certificate of deposit,1830000.0,1.0,180.0,180.355,201000.0,83238
2012-01-02,UK,insurance,33100.0,1.0,24.0,585.635,6600.0,36091
2012-01-02,UK,checking account,450000.0,1.0,21.0,31.66,40500.0,1722
2012-01-02,UK,consolidate loans,74000.0,1.0,4.0,73.435,2900.0,773
2012-01-02,UK,bankruptcy,8100.0,1.0,1.0,1.945,1000.0,30
2012-01-02,UK,lawyer,13600000.0,1.0,114.0,172.97,1830000.0,50595
2012-01-02,UK,loans,20400000.0,1.005,1282.0,9314.575,3350000.0,30663270
2012-01-02,UK,mortgage,9900.0,,1.0,30.155,880.0,115
2012-01-02,UK,rewards card,823000.0,1.0,15.0,13.205,90500.0,542
2012-01-02,US,financial services,4090000.0,1.0,703.0,147.67,823000.0,266422
2012-01-02,US,certificate of deposit,1830000.0,1.0,272.0,210.735,673000.0,146924
2012-01-02,US,joint account,201000.0,1.0,145.0,1017.975,135000.0,379457
2012-01-02,US,insurance,33100.0,1.0,168.0,3937.655,22200.0,1697825
2012-01-02,US,checking account,450000.0,1.0,173.0,1129.185,246000.0,501636
2012-01-02,US,consolidate loans,74000.0,1.0,36.0,173.895,74000.0,16109
2012-01-02,US,overdraft fee,135000.0,1.0,59.0,175.82,110000.0,26810
2012-01-02,US,minimum balance,1220000.0,1.0,384.0,194.475,301000.0,191824
2012-01-02,US,debit,1500000.0,1.0,9.0,8.675,673000.0,218
2012-01-02,US,lawyer,13600000.0,1.0,1217.0,1513.88,9140000.0,4729178
2012-01-02,US,credit cards,165000.0,1.0,130.0,1110.02,135000.0,371479
2012-01-02,US,loans,20400000.0,1.005,5176.0,44982.465,11100000.0,597735328
2012-01-02,US,wire transfer,9900.0,1.0,57.0,288.975,8100.0,42527
2012-01-02,US,mortgage,9900.0,1.0,11.0,8.965,4400.0,284
2012-01-02,US,rewards card,823000.0,1.0,4.0,4.295,135000.0,67
2012-01-03,UK,financial services,4090000.0,1.0,6.0,86.3133333333,246000.0,1357
2012-01-03,UK,certificate of deposit,1830000.0,1.0,202.0,202.636666667,201000.0,105066
2012-01-03,UK,insurance,33100.0,1.0,24.0,562.6,6600.0,34691
2012-01-03,UK,checking account,450000.0,1.0,18.0,34.2233333333,40500.0,1645
2012-01-03,UK,consolidate loans,74000.0,1.0,5.0,73.5533333333,2900.0,972
2012-01-03,UK,bankruptcy,8100.0,1.0,1.0,1.92666666667,1000.0,30
2012-01-03,UK,lawyer,13600000.0,1.0,114.0,171.086666667,1830000.0,50312
2012-01-03,UK,loans,20400000.0,1.0,1407.0,11809.26,3350000.0,42638488
2012-01-03,UK,mortgage,9900.0,1.0,1.0,29.91,880.0,115
2012-01-03,UK,rewards card,823000.0,1.0,17.0,15.1266666667,90500.0,694
2012-01-03,US,financial services,4090000.0,1.0,697.0,146.096666667,823000.0,261513
2012-01-03,US,certificate of deposit,1830000.0,1.0,297.0,250.98,673000.0,191149
2012-01-03,US,joint account,201000.0,1.0,139.0,1215.39666667,135000.0,432867
2012-01-03,US,insurance,33100.0,1.0,166.0,3998.15,22200.0,1708086
2012-01-03,US,checking account,450000.0,1.0,185.0,1279.93,246000.0,607327
2012-01-03,US,consolidate loans,74000.0,1.0,40.0,178.233333333,74000.0,18412
2012-01-03,US,overdraft fee,135000.0,1.0,77.0,431.17,110000.0,84882
2012-01-03,US,minimum balance,1220000.0,1.0,372.0,186.636666667,301000.0,178176
2012-01-03,US,debit,1500000.0,1.0,9.0,8.59,673000.0,217
2012-01-03,US,lawyer,13600000.0,1.0,1338.0,1745.92666667,9140000.0,5998439
2012-01-03,US,credit cards,165000.0,1.0,147.0,1166.94333333,135000.0,439526
2012-01-03,US,loans,20400000.0,1.0,5450.0,65290.27,11100000.0,913410090
2012-01-03,US,wire transfer,9900.0,1.0,66.0,526.006666667,8100.0,89494
2012-01-03,US,mortgage,9900.0,1.0,11.0,8.9,4400.0,281
2012-01-04,UK,financial services,4090000.0,1.0,6.0,85.795,246000.0,1350
2012-01-04,UK,certificate of deposit,1830000.0,1.0,202.0,201.705,201000.0,104584
2012-01-04,UK,insurance,33100.0,1.0,24.0,559.2,6600.0,34549
2012-01-04,UK,checking account,450000.0,1.0,18.0,34.035,40500.0,1638
2012-01-04,UK,consolidate loans,74000.0,1.0,5.0,73.09,2900.0,972
2012-01-04,UK,bankruptcy,8100.0,1.0,1.0,1.915,1000.0,30
2012-01-04,UK,lawyer,13600000.0,1.0,115.0,170.18,1830000.0,50100
2012-01-04,UK,loans,20400000.0,1.0,1412.0,11739.435,3350000.0,42560109
2012-01-04,UK,mortgage,9900.0,1.0,1.0,29.725,880.0,114
2012-01-04,UK,rewards card,823000.0,1.0,17.0,15.03,90500.0,691
2012-01-04,US,financial services,4090000.0,1.0,698.0,145.86,823000.0,261246
